Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.....9.42.8...6795....1..........8...981.....6..7..4......2....46..8.5.15.2.....6,25,33,22,2,1,1,0,1,0,Expert,
.56...1..1....2..47...........14.9.7...6.......1..72.84.8.1...9..7.8...262...4...,26,72,10,0,1,5,0,2,2,Expert,
..53..9...7.............8.12.165...35........83..9..2.3..9.......2....1......8267,24,28,28,0,0,0,0,1,0,Expert,
....4.....13..5.8....8..4.7......1.....5.2..6..1.6.852.5.124....2.38..1..........,25,39,16,1,1,1,0,1,0,Expert,
.6..7.548...1..9.........3.78.3.....439..6..........19..76..19......9465....5.8..,27,31,21,0,0,0,0,2,0,Expert,
..3.7....6..28..3....6.3.25.1........5..1...2........8.3215......6..8..45...4.6..,25,24,31,0,0,1,0,1,0,Expert,
..3.....7...1...2....9..1.58....7..........38.9......2.71.5.6.938.79......5..8.1.,25,48,7,1,0,0,0,1,0,Expert,
..1..983...56.1.4.7...4.96..5..9.7....8..6...3..4.7.8.............8...7..6..1.5..,26,43,16,0,1,1,1,2,2,Expert,
..3.71.6......5..3..6.....5.........8....71..6.12.4...2.....8..1.835...4..71.8.3.,26,54,22,2,0,2,1,7,6,Expert,
3.....4......63...9..472.1......4......1..69.....2...4..3.8.7..42..9...1..82.6.3.,26,67,11,0,2,2,0,6,4,Expert,
.1.....6...75..2....2.47...6...24......3...9...51..3....1.....9....3261....75....,24,54,10,4,2,2,2,5,2,Expert,
..1.......5.3....9..274.1.....5.......3927....9.....561..25.3.....6..4......94...,24,47,9,1,0,3,0,1,0,Expert,
.9......8...61..3...83..54.9...........1..39446.7....1...8..6.9....6....8....4.5.,25,33,22,0,0,0,0,1,0,Expert,
.....8.536....7..2.34.......2.....8151..8.63..4...15....7..64......54............,24,147,20,3,2,8,0,14,20,Expert,
3.75...9........1..2543.7...98.4....4..7......3.8.........7.28.2...1...9..49.....,25,105,12,3,0,1,1,6,10,Expert,
.6.17...2.1.4..87...49.3...9.8.....1..27....667..1..4.......2.....2..61..8.....9.,27,39,11,2,0,1,0,4,0,Expert,
.1.32.58...574.3..........1......753.8.......1...3.29...4.1...73..5..4......7.9..,26,67,6,2,0,0,0,2,2,Expert,
.2.1.8.......7...8....4....4..2..1.679.....3..6.38..42......2.7.31.2.6.....4...1.,26,59,11,1,1,0,0,3,2,Expert,
9...4.2..8.49.7..3.3....1...1.6........7...36.69....2.4....2.....6......3......7.,23,52,19,1,0,1,0,2,2,Expert,
.7..32.91..3........1..43..3......7....6..9.291.7..864...4.......8.......6..71.2.,26,43,12,3,0,2,0,5,2,Expert,
.62.1.83..3....2..7.5...96.....98.171.9..7....5.3.....5......9..13.8..5........2.,27,42,20,1,0,0,0,2,2,Expert,
2.8.6...9.912..4..4.....2.....65.8...5...3...31.....461...........39..1...2.4.6..,26,38,16,0,0,1,1,1,0,Expert,
....2.....9...7.64..75682....58....9.29..6..786...........1...2...2.5...1....97..,26,44,10,2,0,0,0,1,0,Expert,
.3....2......91...7.12..8..52..3...9....2..834...8.7...8.....7.1.7...35.3.9.7.1.8,29,78,12,2,0,2,0,4,4,Expert,
3..4...6.....2..97...9..45.5...6......6...24.........9.5..9.824.....4....2735....,25,42,12,1,0,0,1,2,0,Expert,
1...8...5....3.8........43..71.539.8.4.8.......5.7134...9......48.7.......65.9...,27,85,29,5,0,4,0,7,8,Expert,
.6....9..8.4....1...1.83..4.53...489......5...8..7.6......36.5.....15....7.......,24,64,25,2,1,4,2,10,12,Expert,
..9.5.6.2.8...25.4.......81...591...1..42.........6....5.76.2..4.2......6...8..5.,26,51,21,2,1,1,0,5,6,Expert,
..2.8.1373....4.6......74..6.4.13...8.3................2.....4...1.4.8.6...96.2.1,26,51,21,1,0,0,0,3,2,Expert,
...54.2.3..9..7..........8..4...53.6..2.6.75....9...2...4..6..7..........253..69.,25,44,16,1,1,3,1,2,2,Expert,
9..71.2.5.....8....5.2.91.8....96....9......71....5.3..2....9.........1.3...2..6.,24,36,20,1,0,0,0,1,0,Expert,
..........52....1....285....4.7...29....9354.......7.3..34......7.5.14...9...7.5.,25,48,22,0,0,0,0,2,2,Expert,
7.1..6....2...5..16...2..43.4.7....25.....3...........1.924..5..72......4.5.6....,25,42,13,1,0,0,0,1,0,Expert,
.8...96.3.7.86...1........5...2....765..1...2.3........6.982...7.3..1.58....7...6,27,55,10,3,0,4,0,2,2,Expert,
....3....5....2...7......6....4.6.52..........6.37......5.1.3.84...8.6...375....4,23,36,21,2,2,2,0,1,0,Expert,
1..8...9...2.9....6.5...41...6.2.8...8.3.9.5.9..5...62...64.......9.8..5.....2...,26,141,18,4,1,3,0,16,24,Expert,
7..4..8..9..3.2..1.2.....7..7...5...3.5....9..8.....4.5...19.2..14.8......2......,24,51,10,1,0,0,0,2,2,Expert,
..3....2..7....8...81..2..7..8.2....1..8.7.43.3........1.......6.5...2.4.....15.6,24,106,21,1,2,4,1,8,12,Expert,
..4.5..1.........3...6......45..1...6..54....3...2...6.73...6.94.6...32.29.....4.,25,51,26,0,0,3,0,2,2,Expert,
.7...2.39...........3..682..8769......2.7.....9...4..5...5...67..5...39.......2.4,25,53,2,0,1,0,0,1,0,Expert,
......43...2..7816.........76...42.3...8..6....1.....5.4.2.176......6....8.3....2,25,53,14,2,0,0,0,2,2,Expert,
3...5..2.6.....5.3.....9...5....7..6...261........4....9.12.6..4.2.9..1.7....53..,25,56,19,1,0,0,0,4,4,Expert,
.7.63..95.3.7..2.6..9...7...26..98.3..7.8..5..8321.....9.........1.2.......1....8,28,38,13,0,2,4,0,2,0,Expert,
5.2..1....6.......98...2.3.1..9..7....7.289.1...3..82.7......9...5..9....1.......,24,28,28,0,0,0,0,1,0,Expert,
.382...97.2.....387......1441..5......9..7.8....349.....27.1.......2.........8.4.,26,27,26,4,1,0,0,2,0,Expert,
.....69..2......36.....2.78....17.853..5.8...7........57.....9..61.......82.6.5.7,26,32,26,0,0,0,0,3,2,Expert,
..78...4.8..5.7..2.......6..426.....9...2...57.1.8.6...9...4.........8.9....5....,23,35,22,0,0,0,0,1,0,Expert,
92.5......4...1..7....64.5..1...8..2....7..6.....5..1...2...8.6...61.........279.,24,51,25,0,0,4,0,3,2,Expert,
.9...4.1....5.98..4..3...56281..53.4.....6..8..6...2..15.........2......968......,26,53,1,2,0,0,0,1,0,Expert,
64..........6....11.8..2..582...96....1...3..956.8.......9........3....8..28...1.,24,73,27,2,0,1,0,14,18,Expert,
.........254..6....96.5....71.....39...7.145...5..9.....1.......3..62..16421.3..7,28,96,10,1,1,2,0,4,6,Expert,
3.6.5.........2..4.4..9.31........7.2.1.....9...5.7.41.1....496..3........94....5,25,39,16,6,0,1,0,1,0,Expert,
.......6...7.41.98...95.......5.....1.5..8.7..7......42....96......2...1...1..54.,23,31,26,1,0,1,1,1,0,Expert,
679...............5.82.3...95.6.1..8.36.7.................2.7...917..6....25.8.9.,25,48,15,1,1,0,0,2,2,Expert,
73.........9..6..8....83.....3.29....8.......4..8....7.1.74..2.2...9.1.4.......6.,23,58,12,0,1,2,0,2,2,Expert,
.38.....6.6.5...2...4...1.5..1...59.42..1.....8....2..64.9..3......8.41......5...,25,49,5,2,0,1,0,2,0,Expert,
5........2.6.9..1..391.6....8...43.....9.2.....2.3.1..9..3....8.21.8.6....34.92..,28,55,25,2,0,2,0,4,6,Expert,
....7.......5......328...6...8.......7..2.65..9.6..3.8.8425..9.3..74..829........,26,46,8,1,0,0,0,1,0,Expert,
.2...........6..783..9.1...29.1...8..3.6...95.86.9.3.75.........6.3.....91....6..,26,61,12,0,0,1,0,3,2,Expert,
.3.16...77.8..3......4......6....9........1....4....73.1...86....3...459...9....1,23,47,10,2,1,0,0,1,0,Expert,
.91......4.615...93........5...3.4...49.6.......5.7...2..69..31.1...56.2..3....5.,27,208,24,2,4,4,0,22,38,Expert,
...2...16.21.8....83.....2.94...2....165...92..2.6.......1............59......348,25,80,17,0,0,2,1,9,6,Expert,
.84.2..6...38..15.1.....4...4.19..2....6....8.....4....6.........82.....51246..3.,26,144,27,6,0,1,0,13,18,Expert,
.18..9.2..3.5.1..........6812.......6..9......9..35.7..7.62......2......5....3...,23,77,6,3,0,0,1,6,10,Expert,
2.....8....3....5.6.......29.1.8..3....6.72.1.2..3......91.8....5...23.....39.5..,25,34,20,0,1,3,0,2,0,Expert,
.............8146.2......515....8.3....64.12......58...293......1.....93..4...68.,25,159,30,5,1,0,1,24,38,Expert,
83.56.....57....64..2...5....9....7.......23..4.69.....9....3854.......2..6..9...,25,43,12,0,0,0,0,1,0,Expert,
..5.386...2.6..89........2.73....2.4.....53...8.34..6..6....57.......4.2...89....,26,77,7,1,1,1,0,4,6,Expert,
1...9.....6..74..........837..2.6..8.......4..1....72....94...6.9.3.1.....3.6...4,24,73,15,1,2,3,0,4,4,Expert,
.....4.....2..8.4...9...5.2.2....8.9....62...5.7...1...4....98...1...6.57.5......,23,61,17,4,1,0,3,5,6,Expert,
.6......5..4........7...6.88....54..235.7....7...813......387....3.4.....1...25.6,26,69,15,1,1,1,0,5,6,Expert,
.....6.85...9............6.56....1341..2......4.....9.61..2.4..2..48....89.5....3,25,59,13,2,0,0,0,2,2,Expert,
.9.15..3..........7...89.5.9....1..6..364.7...78.......1..........8..6.5...43..9.,24,37,19,2,0,0,0,1,0,Expert,
3.......74.....1..1.96...4........2.7...4...1.4..9.3.69.1..645..3.2...6...2......,25,59,24,0,1,0,0,5,6,Expert,
7.......29.68......83..5...6...1.2...7...........6..15..5....9732.6781...........,24,55,17,2,0,1,0,3,2,Expert,
....139.8...6...5..7..5.3.1946......3....1....8...743...8...1...9..45...6....8..5,27,163,26,4,0,1,0,21,30,Expert,
7.......8...1..276...8..5........6......5...1.8...2.571.824....2..6.8.9..54.7....,26,38,16,1,0,0,0,1,0,Expert,
....36......1........285...63....95..79.52.311.....7.2.2.8..39..6.5...873...7....,29,72,11,0,1,0,0,6,6,Expert,
.1.96.7....81.5...........3...8...72.....16.99...27.5....2.....7....31...5...6.27,26,44,9,1,1,2,0,2,0,Expert,
.5.24.3..1..9.......23.....4...7..12.9..1...7...4.56..6...2.1.....59.72......6...,26,41,13,1,0,1,0,1,0,Expert,
72....58..8.............1...3..7.62..41.6.7.5.....5...8....6......2...41.7.5.386.,26,88,13,2,1,2,0,6,6,Expert,
....1...58.375.4.66..4........841.9...6.....31.4..3...7..1......6..3....4...873..,27,172,25,3,1,3,0,22,40,Expert,
.....9....837...4....4....5.4...235.9.....86.2...36.....5.....4.7.69.......5...3.,24,52,12,0,2,1,0,3,2,Expert,
41735.2.........3...2..6.1.758.......6..15.4....7.........2....386.47.....463....,27,40,13,0,3,2,1,1,0,Expert,
.6.2.5.....38..9.6.5..1.....4.62...9.821..3.4.....4......3...........1.3.9...25..,25,45,10,5,0,0,0,1,0,Expert,
....51..6..8..32..........53.91....7.5.7...6...6.8.5.37....2..1.....8...1.5......,24,33,23,0,0,0,0,1,0,Expert,
.....6791.65......1...2....3.7.59......6.2.5...9.41..32.........91...2.6.4.......,25,48,7,0,0,0,0,1,0,Expert,
....8.2538.45....6...69.78...89..4..6...3....2.9......7....5.....5.78.9....2..5..,27,69,9,4,0,2,0,2,2,Expert,
8......6..1.7..3....96...2...28...4...7.....236.4.1..8...........8...93..719.6.8.,26,65,11,1,0,1,1,2,2,Expert,
....6..8....1.85...2........9..41....1.5.2.9.......7...5....9..6879...2...987.6..,25,31,24,2,0,2,0,1,0,Expert,
8.4..5..7..93.......3....5...74.8.9.....2.7315.....8....5....49...9...2..1.......,24,44,12,0,0,0,0,1,0,Expert,
5...1..98.9..8.3........21...8...6..156...........3....7.1....93.....7.22....5.63,25,40,15,0,0,5,0,1,0,Expert,
49....1....6........3.2.59.3.......2.8.95......2.3..1..1....8.58...14....34..5...,25,46,21,0,0,2,1,5,2,Expert,
12.3..5.7.35.8...18.........5...6....93.7.....7.8..6..3.27.58.......9..........5.,25,56,24,3,0,2,1,4,4,Expert,
..2..5....9.6.8.5..1..9..64...2.48.9.61...23.....5......38.94.......6.........3..,25,55,9,0,0,0,0,2,2,Expert,
.9.51..........2..157.....371..4.82...9...14.84.9..........24...7.......3.5....7.,25,185,27,6,1,5,1,16,28,Expert,
178..6.......9..6...92..4.179..1.....4...2.3.........4...8..1.6.....7..2.2....398,26,58,14,2,0,0,0,3,2,Expert,
....9.1..9.4.......27.....6...71.584....482...........4...2.8.18..6..4...7.1...2.,25,52,27,2,0,2,0,5,6,Expert,
.....2.6.......75.91..4...2...2...1...56.....3.75.1.9..........2....71.......9..4,22,60,6,1,0,0,0,2,2,Expert,
21.6....3..........37942....61..9.4..4.8....7...72.6.....43.1.6..3.7.......1.....,26,77,9,1,3,2,0,7,6,Expert,
....2...5...3...8.......4...948.2....7..13..8..2..5.1..4..7...38.3.....12......5.,24,43,20,3,0,1,0,3,2,Expert,
.9.....5..32.4.9..1...2.36..4...269...345.2......9683...1..3......86.............,26,40,16,3,0,0,0,3,2,Expert,
7.5..9...93..1..2.6...4.1......2......1..72.....9....717.....35....74.1..42...9..,26,38,22,0,0,0,0,2,2,Expert,
.4.1...2.1....23....3.6....9.83...6.35....1.8.........2.5..1..4..69..5.3.......1.,25,37,26,0,0,0,0,2,2,Expert,
453..87...9.........2..9..6.37..56.4....9.25....38...9.6...75...2...39..7........,27,37,16,0,0,1,0,1,0,Expert,
1.......9.......6.......3.7.5......3.9235....76..29..8....1..5.6.57...9..2....6..,24,92,33,3,1,0,0,15,22,Expert,
..3.758.6.7.....53...4..9.781...4...4..........51..3..3...8.1.99.....7....1..7...,26,93,34,4,1,1,0,10,14,Expert,
6...5.....3.9.7.8.5.4...97......8.....3.6.5.....1........47.1....75.1.....6.....3,23,55,14,1,0,1,0,4,2,Expert,
1.9.....2.7.5.4..6....91.7.9..6..3....54..6.7..3.1...5.....5....5...6.4.7........,25,47,36,2,2,2,0,5,6,Expert,
3.....4...9.......1...5.2...8..9472.47..1.3.5.....5...95427....2.7.8.1...1.......,27,44,9,2,0,2,2,1,0,Expert,
.....41......9245....7..9.8.935.......5.713..4.19.....8.23.9....391.....7........,27,42,11,1,0,1,0,1,0,Expert,
.2.....59...5...3.7..2.34..1...2...3....7..........54.6.7...2..39..1...4...7....1,24,37,19,0,0,2,0,1,0,Expert,
.............3..5.1...4....7.6.84...3....51...5.3.9..4.......9353...8....9416.7..,25,42,13,2,1,1,0,1,0,Expert,
4...873.....2.....835.4.........8...9.7.......8..3957.5....6.277.6..4....4..7.9..,27,86,18,3,4,4,1,11,16,Expert,
.4..8.....73..2...2....3....9......1...7.8.5....2..794..4..9..5....3...9.39.14.7.,26,47,20,5,0,0,0,2,2,Expert,
7..35..9.....1.765..4.........63.2.......5......724.5.4.297...6..3.....4..5..3..1,27,69,11,4,0,5,1,3,2,Expert,
......91.93..8..4....9....5.1..9..6...5.....2..2..5.3.8....3.......4.8....6.51..3,24,33,23,4,0,1,1,1,0,Expert,
6..4...5.8..........4..73...........5..9.6....47.8...9...6.29....5..8..7.8..7..26,24,41,15,0,0,1,0,1,0,Expert,
.7..98...9..214......3.....73....9..61.....7..2....1.4...1.....2..8.7.3.....49..6,25,69,12,1,0,1,0,5,4,Expert,
....4...6..823..54..5..83.2..7.8..4...3....9742.7..5.....526.........6...9.......,26,77,12,5,1,2,1,8,10,Expert,
.......36..7.35...........79.8.47.6...598....3..6...5.8.....6.......9.4..4..6.9.2,25,29,26,0,0,1,0,1,0,Expert,
.3.1...52.....3..77.825.1........78..89..1........2..94.2..9531..3.......1......8,27,75,22,2,1,4,0,8,10,Expert,
.1.2..8...56.........3.1...583.....4......2...7..3......7.84..1.....6.4...47..652,25,64,13,0,0,1,0,2,2,Expert,
5...6.4.1.47........9...........7.13....538...38.9.6..89...5.3.1.5........6...5.8,26,57,17,3,2,0,0,2,2,Expert,
8..79.....9..1.48..542..6..4..1..26.78..4.5.12..5......7.....4.............8..1..,26,35,18,0,0,1,0,2,0,Expert,
3.5..9...7.4.3.1...9...68.....51.4.....3...6.1....7....79....4..............54.78,24,52,16,0,0,0,0,2,2,Expert,
5...6.........4..7..4...58....719...6..4...2.1...5........8......89...16.4...1.78,24,61,14,2,0,1,0,2,2,Expert,
9......64.7.9.82...38.26..5.......8.726..94....9...72.....5...7......54......73..,27,35,18,0,0,0,0,1,0,Expert,
.93.782.5...6.43..74.....8.375..6....2.......46..837...5..3....8.....5.4........3,28,45,7,2,0,0,0,1,0,Expert,
5.......7.3........9....64........7.....624.964..3.25.....2.1...1..9436...9.1...2,26,97,16,3,1,3,0,14,22,Expert,
....3.6.9.8....13.31..29.5......4..2..5..19....1693.....2.....5.9.........8.5..9.,26,53,23,1,1,0,2,5,6,Expert,
....6..4248.......5.....6..8...45..7..2....9.......4.6....17......49.58.6.......1,23,39,29,0,0,2,0,3,2,Expert,
....1...7...7..3.........9...3...6..1.8.9...55.72.1.....532........5..6.7.1...9.3,24,28,30,0,0,0,0,2,2,Expert,
5..4..1.3.12.7..657.....94.9..5.......3...7..17...6.......64.3.....1..5..........,24,45,11,0,0,0,0,1,0,Expert,
......9.3...7.1.......35.6....1....2....93.7........56..6...2...514.6..742...9...,24,37,19,3,0,0,0,1,0,Expert,
5...9.7129.7...5...........34.6..9......7..64.....53..1.6.....3...2.6.59.........,24,33,23,5,0,0,0,1,0,Expert,
5..4..3...1....7.4..975...8......8...5............2.9...8.2.9...3.9...1.4...13..5,24,46,20,0,0,1,0,3,2,Expert,
..6...81...986...3.2....69.6...8.1..4....23...3..7..6..7.3..9........2....8.....7,25,38,15,4,0,3,0,3,0,Expert,
.6...7.4.4...5.9..3..2..1....7......6...9.....2.3...9.1....2..42..7143...3.5.....,25,72,14,0,0,1,0,2,2,Expert,
4..6.2....5.8....7..349....87..43.....4......2......7.....2.6....23.684..68......,25,40,14,1,1,3,1,2,0,Expert,
.38...1........8.51.9....4........679....5.....3..19.4..169......6.5.3......137..,25,63,26,1,0,1,0,2,2,Expert,
.15..32..4..........3...6..17..4.....2.6...5..9...2.14......5276.7.....1.42......,25,50,16,2,0,0,0,2,2,Expert,
36..8...42...3.......1..3.....6.2.....9.5.2...3.9..18649.....6..2...5.......6..5.,25,46,20,1,0,2,0,3,2,Expert,
.8.9....74.9..6...7...83.4.53...4.....2......9......5...3..85..8.....49...6.2....,24,81,10,1,2,1,0,6,6,Expert,
.35.6.82.286...4..4..........8539.....42..6..39..........72.3....7..6...8....4..2,27,36,15,3,2,2,0,3,0,Expert,
.6.2.5.1.15..67......9....6.....1684...52......9..65..2.68....7........9.....48..,26,63,22,2,0,2,0,9,8,Expert,
....5....9537.4.....4.2..9...6.......396..72.2.....4..4....915..1.....72..2..56..,27,59,26,0,1,1,0,5,6,Expert,
..41..7...5...71...6.....436...29.....1.56...59......7.1...536.....7..........9.5,25,93,35,0,0,4,1,10,18,Expert,
..98.............1..3....9..1.3....2.....853..5...9..8.92..1..7..52..1......5..4.,23,44,17,2,0,0,1,3,2,Expert,
....89....7...6..58...7..2......53.8.4.69.5.......4...........9.94.3.8...5....47.,24,58,20,0,1,2,1,2,2,Expert,
63.9.4....4928...3.....31.........1....4.23.74.....9.6.......818..6....2.9.......,25,57,3,2,1,0,0,3,2,Expert,
..1...65.5.3....48.8.6..2.......1.2....28......8943.6....1.8..31...9........2....,25,279,28,7,2,0,0,51,84,Expert,
.1.........4....7..85...1..6....5....7.6...........82..92.14..78..2.6..9.5.9.7.4.,25,57,12,1,0,1,0,4,2,Expert,
...39....8.9.7.....3........1.........3..4..87.41..9.....2..47.2.68...9.....61.2.,24,100,30,2,1,4,1,6,6,Expert,
9..5.....71..62..5...7.........8..72.....9.548......6..7...6.281....4......2.51..,25,89,17,2,0,0,0,10,18,Expert,
.8.5.4......7.2.5............5..8.2.81.6....4.2.147...96.4..8...5...61.2........7,26,72,15,5,0,1,0,8,10,Expert,
.9....34.......972........8...3..81...1.6..3..7.84....8.9...7...1...8.6.76..32..4,27,110,13,2,1,0,0,8,12,Expert,
1.......5.3...81...859.........2.....28....1...93...7.........7.9.23.4.....4.528.,24,62,22,3,0,4,0,6,4,Expert,
......9....9.4735..4..9..1......8....5..7.2381..953.7.2.......379..3.5.........4.,27,78,15,1,1,0,1,7,6,Expert,
.8..3......9.6..4..2.8...63....41..2.453..9..8.2....5..3.....9.6....54....8......,25,42,20,1,0,0,2,2,2,Expert,
.......5...42....19.....6.26.....7.31....49.62..39...4.1...2..7.........3726...4.,26,42,15,4,0,1,0,3,2,Expert,
..9217.6..3.8...2........1...7..8.3..4...........794..........63..98...1..23.178.,26,64,9,0,1,2,1,3,2,Expert,
4.......37..451.8..1....6...3.1.7.5...82...742.5..........841.......2..........3.,24,39,16,3,0,0,0,2,0,Expert,
............495....3.2..46.9..5..8.1....6.....2.148.....261.594..6.........952..6,27,64,24,0,2,3,0,4,6,Expert,
.6.2...71.8....94..2..7...3....41..7.....6...73.....6.4...13..9..6..2....92......,25,34,21,2,0,0,0,1,0,Expert,
.78.........9....22.....183...5..96.56...2..7..3........2....31.1.7..5..3.7.....9,25,51,21,3,0,0,1,2,2,Expert,
39.5.7.6.56.1.97....46..3....5...64.........224....5.3....6...59......27.5....1..,28,125,8,4,2,2,0,20,36,Expert,
...9.......5....7..7.34...8...6..8....9.....5....31...5.6.7..4131...5..9.48..97..,26,74,3,1,0,2,0,4,4,Expert,
....76.5.75.1..6..8............9...8.7...21...42.1..9....62.........47.....8...1.,23,45,17,1,2,0,1,3,2,Expert,
5...8.2.6..8....47.3.7...8..1..5..72.8...........4.81..61.7342..54.6....2........,28,85,20,3,1,3,1,8,10,Expert,
1....96.5.5.....2.....85.1923...1.....62........678......86.....2..1.7...1...2.3.,26,66,26,5,4,4,0,7,6,Expert,
..5..3......2.....31...45....85...2.5.496....62............1.9..4..2.....6.83..1.,24,46,18,1,0,0,0,2,2,Expert,
....3......3...986.8....3.21..6...9..3748.1....41.........1.6.9....2.....2.34.8.7,27,46,5,0,0,1,0,3,0,Expert,
.61.............5.9.7...8..3.......971..9.6....62......3..51.925.2..31.....7....6,25,43,18,0,0,1,1,2,2,Expert,
....3.9...37..56.........7.9..31..2..2......1.....786....2.3.8....5....7..2..639.,25,42,12,2,0,2,0,2,0,Expert,
...51.68..75.26.................87...2...4....4.69....8....9.74....6.9..1........,22,47,24,5,1,3,1,2,2,Expert,
1...29..4.8...3.1....5....961.....4........513...5.98..3...8........6..8...13.69.,26,46,25,0,0,2,1,2,2,Expert,
..716.3..1.68..9.......2......6....5....3..2.75......1.2......3....9......5.2.6..,22,55,23,2,0,2,1,2,2,Expert,
641.....8..31.....2........1.693....8..4..619.....82...6......59......3235..8...1,27,71,20,1,1,2,0,8,12,Expert,
93...8.6...47...3....9..1.8.8......1....7..4.......9.6.9........7..4...55...193.4,25,33,22,0,0,1,0,1,0,Expert,
.3..5....9.2........1...4..19.5.....2.61.89.4...4...5.8...4..31..3..1........6.8.,25,41,14,0,0,0,1,1,0,Expert,
...927..4..9..5.2.6.........3...2.49..........51..9..3..5.31.6..12...43.....7....,25,41,14,3,0,0,0,1,0,Expert,
.4..76..56..4.23..3.2..9.7.79.............6.....2....7............15...42.3...19.,24,36,18,2,0,1,0,3,0,Expert,
.1...25....3...8...7......2....8.3..1....4...78..234....75.193.49......5...84....,26,141,22,4,1,3,0,23,40,Expert,
....1.....8.9.65....38.56.7........915.....64....48.5.6.....3.....4..9...3.591.7.,27,51,16,1,1,1,1,2,2,Expert,
4..8.....3.5....1..71.4.8.58.96.....1.34...5..6.5.3..........4.......637......9.1,26,72,0,3,0,0,0,5,6,Expert,
....5...1...7.3...267..153....43.6..5.6.........1......7..6..9....9.7..2.52...76.,26,43,22,0,0,2,0,4,4,Expert,
...1.......1.78.6..7.......2.4......75...6.....3.2.8.....8..54..36.1...7.1.5..3..,24,57,10,1,1,2,0,2,2,Expert,
7..9......9.163....6..78..54.8.....9.39...15.1.5...8........37....4....6....5....,25,53,13,0,1,3,0,4,4,Expert,
8..17.........6.3......8..53.7.....62.85...73.5..1.9.....635.2.....2....6....9..8,26,54,5,0,0,1,0,4,2,Expert,
.6..9...........5...71....6..125...72.4......37.6....1.52.........4.69.......1.74,24,36,20,1,1,1,0,1,0,Expert,
.9.6...........9..1....4..68...132..3....719..2..9...4..7......24..8..7.61.7.24..,27,57,15,1,0,1,0,2,2,Expert,
..4..2..7...87529......3..........85...6..4..7....9...52....7.........69.9..475.2,25,36,19,2,2,4,2,1,0,Expert,
..........9.8...4.4.37...62..4....8.8....1......36...7...1.2..3.3.49.2..96.......,24,34,21,1,0,5,0,2,0,Expert,
........567..24.1.4.2..8.......15.....624..9....6..17....8.27........6..5..1..2..,25,31,27,1,0,0,0,3,2,Expert,
.5.....311.....58...97..64...416....5...37.....1.....84....8......6.9....983.....,25,45,10,2,0,0,0,1,0,Expert,
..4.3.....29..........26.....1.6.93.8..5..6...621.9....8..5...44..3...9.......85.,25,75,17,1,0,0,0,5,4,Expert,
