Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
1..4.9..82....7...8...2.7...7...1.46..47...8.68.2...9....16...........3.4...3....,25,45,11,1,0,0,0,0,0,Intermediate,
.93.......1.54...8...........2..4.53.4.2.....5...6.1......36.9.........6.3548...2,24,41,16,2,0,0,0,0,0,Intermediate,
.......4.5..4..16..6..8.....4.39.7.1.85..16........35..........736..9.1.....4.9.3,26,37,18,2,0,0,0,0,0,Intermediate,
.98..5.74..5.........742....3.4...85.5.6..92..6....3...862.9.5..............8....,25,49,7,2,0,0,0,0,0,Intermediate,
.6.......2.9.71.8....24..3.7.......4.13.8.7...86............2.6..1........8.239..,24,41,16,2,0,0,0,0,0,Intermediate,
...713..9..36..5......5..7845....9..8...9.1.6....34...6..9..7.4...36..1.........5,27,46,8,1,0,1,0,0,0,Intermediate,
...7.2.3......147.6.......278......4.21463....6...........96.28...8....3...24...1,26,40,15,0,2,0,0,0,0,Intermediate,
427..6.1.....3.5...3..4.96..4.6...5.6..7194....25....9.6.1.............6.1.....7.,27,39,15,1,0,0,0,0,0,Intermediate,
7...2931.....512...51..6.4...6........5.3...7......9.3.....5.......1..2.69...7...,24,32,25,1,0,0,0,0,0,Intermediate,
.............7.35915...98...1...3...7.81.4.6.6.......7.8.....9.....3..8...9...64.,24,49,8,0,0,1,0,0,0,Intermediate,
.53.2.9..1....9..7.........6.......94...9.2.6..5..1...7.1.4...2936...7.....3.....,24,41,16,1,0,0,0,0,0,Intermediate,
........71...274.........298...9...6.....1.4.4.....2....3..61.221.7....876..8.9..,26,33,22,0,0,1,0,0,0,Intermediate,
5.7.8.4..3.....51..1.5.23.7....6...2......7.8...........8...26...1..8...2.57....3,25,47,9,2,0,1,0,0,0,Intermediate,
.28....6...7...3..56...........71....83...5..1..83.2.689.....5.......7..2....591.,25,47,9,1,0,0,0,0,0,Intermediate,
.58......64..............61...68...2..6..5.7....2.351.4351.....2....48......6....,24,30,27,2,0,3,0,0,0,Intermediate,
..........8..6..9...1...375...5...36.2718.....6...31...95...81....7.........5.6..,24,37,20,2,0,3,0,0,0,Intermediate,
...2...3.....9.87..........86..3...97.21.....3...2.68.6.4..1.......8.4.2.1....36.,25,38,18,1,0,0,0,0,0,Intermediate,
3.8.....12..3.......1.8..5.......5.7.7.....9.53..16....8...2.6....9...38..2...7..,24,46,11,4,0,4,0,0,0,Intermediate,
2.....9.1.....4.......59.741..3.....9...8..3..5....14....5...2.....18...3.5.2.7..,24,45,12,0,1,3,0,0,0,Intermediate,
...8..59..1..9..43...3.5.....6.4..15...9.........6.43.4....2.6.8.......9..35..28.,26,39,16,1,0,0,0,0,0,Intermediate,
4....6..1......82.796..8..........13.6........7.1.......14.....8......34..29...8.,22,51,8,1,0,0,0,0,0,Intermediate,
1.7....9334....67..9......148..2.73....8.......17.9.28..9..1.4...4...........2...,26,38,17,1,0,0,0,0,0,Intermediate,
.......8.9..4.5...731.9.....9.....7...4.1..93.7.38..1......8.....5....3.42....5..,24,51,6,1,0,0,0,0,0,Intermediate,
......2....4.....7.3....9.4...87...68....24.....6.........1..2..61..47.3..279.8..,24,43,14,0,0,1,0,0,0,Intermediate,
..8.62.4.65..7.....3..........1..7.8...43..5..75..8..13.45...7..8...1...1........,25,35,21,2,0,0,0,0,0,Intermediate,
......9...5...31.67.96..53...53...1...1.75.98......7......8........31.....6...4..,24,45,12,2,0,1,0,0,0,Intermediate,
....618...7....3.6.......1..57842.6....35.48.........2..8237..4.6..8.73..........,27,36,18,1,0,0,0,0,0,Intermediate,
...387..1.............41....64.3..9237............6....13.2..7.4...7...978.413..6,27,42,12,1,0,0,0,0,0,Intermediate,
........2.7.........3...594..2....5..8.7.2..6..5....392.8.4..634....9....96..5...,25,40,16,2,0,0,0,0,0,Intermediate,
.8.1...32.497...8......4.........7.1..4..78...26.1.3......36...6...7..........9..,23,51,7,2,0,2,0,0,0,Intermediate,
.2.39.4..3.4.....58.6....3.....2759...8.6...2..3.....4...6.8.....9......5..7.....,24,35,22,2,0,0,0,0,0,Intermediate,
.2..7....637........1.......4.....5..5.34.1..2.85..7.4..341..25.6....3.1.8...2...,27,46,8,1,0,0,0,0,0,Intermediate,
...5...2.9.......3.6....79...56...1.8...91.....12.8..6.1.8...35....1.8....7.3....,25,41,15,0,0,2,0,0,0,Intermediate,
....2..69..6..92....8.....39...14...13.2..7...2..9.1.6.......32.73.4...........8.,25,31,25,2,0,0,0,0,0,Intermediate,
.3.65.8.21...2.4..58.....7.....43..7.......43..........1847....2..1.....4..56.3..,26,38,17,3,0,4,0,0,0,Intermediate,
..9.....558.....9.6...8.3.4...935........7.........42..2.4.86.3.9..26......7.....,24,42,15,2,0,0,0,0,0,Intermediate,
2...4.1.6...37....9...............23.4.....8..8.......7..48...13....6..9.9.2....4,22,39,20,2,0,0,0,0,0,Intermediate,
......153.6......254....8.....1..52...7.....8.......7.31..74....5..8.7.....23...6,24,39,18,3,0,0,0,0,0,Intermediate,
.9..86....5.7.............4..7.1....2...648.54...7.9......2.69.6..9.81.2......5..,25,48,8,0,0,5,0,0,0,Intermediate,
.6.8.2....9.....3...4...82...2...6..............98..1.9..14.38.7..3.64..4.1......,24,30,27,1,0,0,0,0,0,Intermediate,
8.........74..31..1.6...4....37...6.....4..796..59..4.38..7.6.5...85.............,25,38,18,3,0,0,0,0,0,Intermediate,
6...8...2.5....9.8.....7.1........4.76....8.5..851....9.....5841.....7..5..8...26,26,44,11,2,0,0,0,0,0,Intermediate,
8...46..57....9....5428...........1........5268......4...7..5....9..27.8..6....9.,24,36,21,2,0,0,0,0,0,Intermediate,
.1..749.58..9..1.6...6..48....3......6....83.4....5....9.7...4.3....9....7.4.6..8,27,42,12,1,0,1,0,0,0,Intermediate,
......5..9.......315.3..68.....9..684358...9.......3.7.4...6...897......3...4....,25,29,27,2,0,0,0,0,0,Intermediate,
...5.....5...129...4.7896..4....6.8582..7....7....4....8214....95..2...........6.,27,44,10,1,0,0,0,0,0,Intermediate,
...2.546.1......5...3.849....1...3...8.3...45.45..1.8.6.....814........2....2.5..,27,33,21,2,0,0,0,0,0,Intermediate,
.5....1.7.......8...4....232...4..1.....7...4....5.....6.7..23.7.8..14.63...28...,25,45,11,0,0,4,0,0,0,Intermediate,
8...4.9....2..1.4...16..8.27.8..2.3.6...7....2..1.3..94..........3.......8....69.,25,43,13,0,1,0,0,0,0,Intermediate,
..49.7..22715...4.5........1.6...4...2....9.....43...1.49......7.....5.63...1....,25,42,14,1,0,0,0,0,0,Intermediate,
..6..49......6....9...5.4.2.34.2.........931.....7.2......13........2.4672..4.1.9,26,36,19,1,0,0,0,0,0,Intermediate,
.....2....591........4......64..19...2.5.8.6.............7.619.91..2...8.86....25,25,51,5,1,0,0,0,0,0,Intermediate,
3.5.2..7...2...1...1...43.....4....8....8.2..9.4..251...31....55...79...1.......9,26,38,17,4,0,1,2,0,0,Intermediate,
.....1.........6.4.9...4...2.1..34.....6.9.5...7......5..3....6.49.7.5.2.164...3.,25,44,12,1,0,0,0,0,0,Intermediate,
5....3..9.....7...78.9...3..7..1........8...589...6.23......28......21...2.5....6,24,35,22,3,0,0,0,0,0,Intermediate,
.7.9.3.......1....3.9.......8..9..4.754...8.....5...619..7.........6.41.....4.95.,24,44,13,2,0,1,0,0,0,Intermediate,
.....9...6............3.8.1.1..2...58.4.9..3..32.58....2.4.5.....1....26...1....4,24,34,23,2,0,0,0,0,0,Intermediate,
...5..4.....4.....1....2.7.3...6..1..1..5.7........82.64.7.1.8.....2....58...41..,24,42,15,5,0,0,0,0,0,Intermediate,
.643.5..1.5....6...3.7...4.....93...............4...8.7...4.1.9.9..........6..4.5,22,51,8,1,0,0,0,0,0,Intermediate,
9..4.5...52.9....4..4.27...2....6759.....263.3...9..8...7.....6........7.....3.9.,26,44,11,2,0,1,1,0,0,Intermediate,
5..9.......284...77....1...1.4........829..4.6...8.....7...8..5...5......6.7291.8,26,44,11,1,0,0,0,0,0,Intermediate,
..648....3..5.7...1..36..5..2......67....824.4.1........863...553....4....4.2....,27,37,17,3,0,0,0,0,0,Intermediate,
..14..6...48.3.1...6..2....3.98.65.......2.9..5.3.......6..948....5.....1...8....,25,52,4,2,0,0,0,0,0,Intermediate,
..1..4..7674.513..9.32......16.2..53..21.79.6...........9...54...7.....1......2..,28,49,4,0,0,1,0,0,0,Intermediate,
.9...3.1...4.....762......9....1.5.......2....519...2....4.......23.7.4..1762..93,26,38,17,2,0,0,0,0,0,Intermediate,
1..7...3......8.......2....748.9.1.....5..7...5...2....31...25.5.....87......94..,23,45,13,4,0,0,0,0,0,Intermediate,
9..1.6..26....8.4.1.4237.8...7...6.8.9.8..1.......2..4..64..........9...8......7.,26,44,11,1,0,0,0,0,0,Intermediate,
...54..92......6..85....1.4.2....4.9.3..8.2.......5.63..6.28.............9.463...,25,42,14,3,0,0,0,0,0,Intermediate,
.7.......5.2..3.9.....76....5..9..7.4..5.29...6.3..58......5........9.3..24.8....,24,46,11,1,0,0,0,0,0,Intermediate,
27.5..6...1..2...3.4...6.......7.......9.........1357..2.6.4...9...3.1.23.7...9..,25,39,17,2,0,0,0,0,0,Intermediate,
.....7....1.2.8......6.........7..1.9...5.8.......6974.57.2.4..29....5...41...6.9,25,36,20,4,0,0,0,0,0,Intermediate,
2.7.93.6....5.4.....9.6.1......4......43.....6....923..2..5.7..1..6....5.....13..,25,50,6,1,0,0,0,0,0,Intermediate,
....62.....5.7.......3.1.8..5....824....5.1..1..234.....2...5...3.7...6.7.8...41.,26,38,17,1,0,0,0,0,0,Intermediate,
.....3....158..........79..27....8.3.....975.....2.41..37..5.............4.192...,23,40,18,1,0,0,0,0,0,Intermediate,
...6..25.1...7..6.8....31..35........8.5...299.2.3...1...3.......78......19......,24,46,11,0,0,1,0,0,0,Intermediate,
.5.......7.....3.14..........8.5.6.....21.4...1.8732....7...8.6.3..6...2..5..7.3.,25,47,9,4,0,2,0,0,0,Intermediate,
4.9.138.....7.83.1.......4...1......9....1.3.........8.9.5.2..7.......52.278...1.,25,37,19,3,0,0,0,0,0,Intermediate,
........8..68142.9....9.1.6.......62..4.78......9.2..1......3.49..6.....43.....2.,25,42,14,1,0,0,0,0,0,Intermediate,
....39.2....7.456...2.564.8..6.......5.....89.....2....9..4..3.....8....3.5..7..4,25,35,21,0,0,1,0,0,0,Intermediate,
61.85.3.......3...7.52.......3..8......1....78....2...15..9.7.83.9.8.65....6.....,26,44,11,1,0,0,0,0,0,Intermediate,
..8.9.1..5..61..9....3....5.....175.1...6..23...7.2.6.8...2..3..62...8.7.........,26,44,11,3,0,0,1,0,0,Intermediate,
..2....86.....6.3..89...1..29......8....1.....342........8.2...5....7....6.4.3..9,23,42,16,2,0,1,2,0,0,Intermediate,
...37.1.51....8....5..6....53.18.74.7.2..5.....8..6.3...3...87........6.......2..,25,44,12,1,0,0,0,0,0,Intermediate,
51....3........76......2...1.7.53...8......1..2......9..98.6.2..5..1..78...9.....,23,45,13,0,1,3,0,0,0,Intermediate,
..6......7........5.172....2....9.3.3.46...7..75...2......574.....16.3.5...3..6..,25,45,11,3,0,1,0,0,0,Intermediate,
..726...336.9...8.....5....685.9........8....4....37......4...792...7.4..3.8.....,25,45,11,1,0,4,0,0,0,Intermediate,
4..56.2..92...4.5..........5..9..62..9.85.3..34.2...95...38....1.8..2....5.......,27,26,28,2,0,0,0,0,0,Intermediate,
..8.3..9.......732.2.9.....39.78....5..1..4.....4....57.9.1..........1.4.8.......,23,45,13,0,1,1,0,0,0,Intermediate,
87...9..........3......25..5.93....1.....785...8.1..2.....4.1.9..7.83.42.2...1...,26,45,10,2,2,0,0,0,0,Intermediate,
.47...82.........7.....9.6...8.4.....6....5.94...3....6..3.....53..8.2.4.2...5..8,24,41,16,1,0,0,0,0,0,Intermediate,
.1..2..8..........8.7145.6.9..8.7....6..1......59.2..46...7.2.......4...491..6...,26,42,13,1,0,0,0,0,0,Intermediate,
...........8.........65..9..8..3.........136.7.349.5....984365..5.....1...65..93.,26,41,14,2,1,1,0,0,0,Intermediate,
1.8.....6.72.........372..1.....13.99.5....7.8.....1.......8..3..6....8...7..35..,24,37,20,1,0,0,0,0,0,Intermediate,
..79.........2..3...4.......2..76..9..9..2.7.8.14..3......8719...6.4...8...2.3.6.,26,45,10,1,0,0,0,0,0,Intermediate,
...4....739.........1.......7.85.4..4....1....89.7..6..56...3..8..9..67.9.7.3.18.,27,48,6,2,0,0,0,0,0,Intermediate,
.13..8..9.94.17.5..........4.7.69..865..81.........5....63......75...6.3.......4.,26,38,17,1,0,0,0,0,0,Intermediate,
358.....6..4...........9...6...3...7..75....1.1..968.....1.8.545.....6...81....3.,25,38,18,5,0,3,2,0,0,Intermediate,
..13.2..8........5......26..967.....1.7...8..3.8..692........5....9......6..5..71,24,39,18,1,0,0,0,0,0,Intermediate,
.8.4.9..64...8......2.5.....5..36.98.94.2..6.........15.......23.8.42.5........3.,26,35,20,1,0,0,0,0,0,Intermediate,
.........536..7....8....73..7..2.6..1......58..896..7.....3..81....8.2.....2..59.,25,45,11,1,0,1,0,0,0,Intermediate,
..4..72..8....3.6..6..1...87...31.8..92.........4.27...8......7...2..316.........,24,46,11,1,0,0,0,0,0,Intermediate,
..1.6..45.9....6...74.5.1.8........1.85......1.7.9...6...2....44.8.....7....16.5.,26,40,15,4,0,1,0,0,0,Intermediate,
..3.1.7.4..8.6.........5.1.7......6..956.7...3.1...8.51....45.3.......4....5....6,25,29,27,3,0,2,0,0,0,Intermediate,
9.....37.3.....6.......1....4..96.5......8...5.31.....6..9.578..1..64.9...7.8....,25,51,5,2,0,1,0,0,0,Intermediate,
9..41.........3....63....2.4...9...8...5.1......8..251.4.98...5......3.....6...9.,23,47,11,1,0,0,0,0,0,Intermediate,
6.8.1.....3.8..9....5...7......59.6....6.7..3......1..28.......976...3.5..3...6.1,25,39,17,2,0,0,0,0,0,Intermediate,
7...56.1........5232...4...........5...3....6.....14...5..82.4..1......86.45...23,25,45,11,3,0,0,0,0,0,Intermediate,
258..3....19.........4....5....85.3..8.3...543...1.8.9..2...59.1.......2.6..2...8,27,35,19,4,0,4,0,0,0,Intermediate,
15.7.....6.....71...2...9......1..84......6....4..65...1.8.425..7.9..4.......2...,24,40,17,3,0,5,0,0,0,Intermediate,
.7.3..6..69.....8.45..6..39..5.....484....7..26.5..8.......2...9..8..2.....69....,26,40,15,0,0,2,0,0,0,Intermediate,
76...2..989.34.............97.8..3.......18..3..4.6...2..91.7.86........48.......,25,49,7,2,0,0,0,0,0,Intermediate,
..8..127..5.6..83.6.......93.7....85.2.....1..9.........19.5.68...3.....536.....7,27,48,6,2,0,0,0,0,0,Intermediate,
5.6.1....4.......1..3.7....8..6..7.3.....5...9...34.68138.....6.4..5...9..9..6.8.,27,46,8,1,0,0,0,0,0,Intermediate,
..7.......85...1.763.....8...1.895.2.2.6..8.....3....1..9..2..87.3.9.6...1.......,26,41,14,3,1,1,0,0,0,Intermediate,
.7...43.2.8............3..98..3.7....4.1..793.6..2.....9..4.....26.....47......81,25,40,16,2,0,2,0,0,0,Intermediate,
....8....5...9..87..4.........1...9...3..7..81.29..5..9..4....33.1....5...5.73.4.,25,44,12,3,0,0,0,0,0,Intermediate,
...27..4...7...5.....56.1...68.....313....8.....4...2.4.........72....653.....78.,24,42,15,1,0,0,0,0,0,Intermediate,
.1.6.2.3..5..8...478..5..62.27...........8...8.6..31..4..8.........4......5.21...,25,43,13,1,0,0,0,0,0,Intermediate,
...3.28.7.6.1...........9..3....72.....4.1.98.9..38..1..4..37......6......29.....,24,48,9,1,0,1,0,0,0,Intermediate,
.3...89..18..93..559.....2.....4.........2....1.....72....8.3......5.417..3.74..8,26,37,18,1,0,0,0,0,0,Intermediate,
.7.....2..41.....3...7...1......3..8....2157.....841.2.3...8.9.5.7.1......9......,24,43,14,2,0,3,0,0,0,Intermediate,
...8..1....9.6.3......7.9..9....27....1..4..8..238...46...............671.8.2....,23,39,19,3,1,8,0,0,0,Intermediate,
...4....7..732.8.4.4....6.393...1..816....47.4..86....8..9......1......2...6.....,26,41,14,2,0,0,0,0,0,Intermediate,
......1.29....8.4.34.....8.......4.14...9.....2.8...7.83.1.4.9.29.....3.......6..,24,26,31,2,0,1,0,0,0,Intermediate,
.8...45.2..45....1.561..4..2...39.4.9...4..8...3.8..........6.......2........6.29,25,36,20,2,0,0,0,0,0,Intermediate,
....8..94.9.2....8..5..432..2.3..8.7...6.....46.8.....7........85..........9.35..,24,38,19,1,0,0,0,0,0,Intermediate,
95...4.2.2..83..4......2.1.145....92.......5..2...34...8...9.......4.7...37......,25,45,11,2,0,3,0,0,0,Intermediate,
94.3...........3.237.2...4..2.1....7......214.......5.......6....94...23.1.672..5,26,47,8,1,0,0,0,0,0,Intermediate,
....5..4....1..5......3.2...3..1....5...2.43..7.8...9.7.43...1.19354.72...8......,27,40,14,1,0,0,0,0,0,Intermediate,
........43...12...5..7.......48......7....1.86..54..3..8...3..6.52..7...1..2...8.,24,51,6,1,0,0,0,0,0,Intermediate,
3......9...5..3127......8.5.7...........8.341......9.8..29.751.1...32...9.......3,26,40,15,2,0,0,0,0,0,Intermediate,
..5.7..9424.3....7..6...3.1..92........7.6...7.49..6.3..........1....7..3....59..,25,38,18,1,0,0,0,0,0,Intermediate,
982.7.....3.2......4....1...2.98..3......3......4..5..8.75...41..3.2187.........5,26,42,13,0,0,0,1,0,0,Intermediate,
1..2...63.3..9.......7...8..8.93.....2..8...1.69..2....9.3..8.52..............179,25,33,23,0,0,3,0,0,0,Intermediate,
............1.93.5.5..37.1..2.9..7.......5.8.1..472..93745............23........8,25,38,18,3,0,1,0,0,0,Intermediate,
6......1..9...168....4...........7..87.........63.5..8..4...3.79.5.....11....4.9.,23,46,12,0,0,1,0,0,0,Intermediate,
..8..5..6.....7.437...4.9.....7......2....58.54...82..2...93.656.............4...,24,43,14,3,0,0,0,0,0,Intermediate,
.4.1.8..5......2..6.25..4..8........7.36..............2...17.8.4....6..1.8.2..5.3,24,44,13,3,0,0,1,0,0,Intermediate,
1.56.....8.3..5.6.....7..1.....37....9....1......9..3..6....7......8...4...41.85.,23,41,17,3,1,3,0,0,0,Intermediate,
.1....82.2....9..37.9......93...7.....7....5..6...3.1........9.6.37.21...2..18...,25,41,15,2,0,0,1,0,0,Intermediate,
.......5.4...2....89....1...3......9...5.948....1..2753.......752.48.....14....2.,25,44,12,2,1,0,0,0,0,Intermediate,
....754..........3.......7...2..73..14.6......7.3.19..2.7.....1..5.63.94......52.,25,41,15,0,0,3,0,0,0,Intermediate,
.7....6..58..........1......4.6...8.....57.9..2....1...94...72....4..86.76.2.8.5.,25,51,5,2,1,4,0,0,0,Intermediate,
.6.4..9..........2139.......1......82......94...16...73....92....1.7.....7.....46,23,37,21,1,0,0,0,0,0,Intermediate,
...4...834...6.27..7.23.....6.........1.......54.....61.68.4..5.8.57.......62.1..,26,50,5,1,0,0,0,0,0,Intermediate,
.2.8.9.....94.........5.....17..8...4.52..3.72.3.9.....5..7.4...7...15..8......9.,25,46,10,1,0,0,0,0,0,Intermediate,
6...17......4.3........916..8.....714.....2..3.7..4..8..269.........1.....9..87..,24,48,9,1,0,0,0,0,0,Intermediate,
..9...6.......759.51......87..........56..4.2.......6..2.....8....2....116.9.82.5,24,32,25,2,0,0,0,0,0,Intermediate,
......7..5......324.921...8.......2.91......3...7..9.529..5..7..3....4.9..8..4...,25,42,14,1,0,0,0,0,0,Intermediate,
7....9.1.421...8.7........5.849......7........1...2.39....3..242.....3.......71.8,25,46,10,1,0,0,0,0,0,Intermediate,
3....1....9.347..8.5........2.......17..2..4..8491......9.7..3.71.5.....8...9.2..,26,42,13,1,0,0,0,0,0,Intermediate,
3.25.1..9...4..1..6...92.5.9.3....6.2....9..4..5.....8...368.1...4..5...........5,26,42,13,3,0,2,0,0,0,Intermediate,
...7.6......93.5..97..........8...6.2....5.4..3...927...826....6.9..8.....5...3..,24,31,26,1,0,0,0,0,0,Intermediate,
..6....133...56..8..47...2......1..2..3.72....8.4...5.....4..36...328........58.1,27,34,20,2,0,0,0,0,0,Intermediate,
6....2.7.2.79..6....9..1....2..1......87....19...83..7........8..2......36...4...,23,37,21,1,1,0,0,0,0,Intermediate,
...4...9.......328....384...237.5....78.1..5..19..........2........91.73.....78.5,26,35,20,3,0,0,0,0,0,Intermediate,
.8.....6..398...1...2.....3....6...1625.....4..4....9...3..92.....25...6.....35..,24,32,25,1,0,1,0,0,0,Intermediate,
..8....2..9....4...4..19...5.....79.......8.....2.5......83...4.8...7..1..459.37.,24,43,14,3,0,1,0,0,0,Intermediate,
....439...5.6...2.8....263.692.7.5.84..5........9.63.......5....3....8...8......4,26,36,19,2,0,0,0,0,0,Intermediate,
2...1.3.41.4..375...8...21..4..7..83....9..4.3.....5...9....8...7...24.........2.,26,39,16,0,0,2,0,0,0,Intermediate,
3.....58...68......5.1..9..8.9......1......96.2....8....5.1..42.945.36......6.3..,26,38,17,1,0,0,0,0,0,Intermediate,
..............6...6...493.......21.4.4....59...3..5....8.5....2.9.2.36..5..8..4.1,24,46,11,1,0,1,0,0,0,Intermediate,
....7351.....8......5....2...2194......7...3.7........42.....5....2.8...3.9...84.,23,40,18,3,0,0,0,0,0,Intermediate,
..5...17.79......32.....6..57......99.328.7.........8......19......96..5.2......6,24,32,25,2,0,0,0,0,0,Intermediate,
..57......19.....5...2...8.4...1......34..8.......9....41.5.9....8.321..5....83..,24,38,19,2,0,0,0,0,0,Intermediate,
.2...7...3.74.1...6..23.....153....2.3..4...14.2....9.1.9.2.....5........7..9.35.,27,37,17,2,0,0,0,0,0,Intermediate,
....9..2.3.56....9.19...6..59.4........9.5..4.41.67.3...6.....1.......46..3.7....,26,35,20,0,0,3,0,0,0,Intermediate,
.29....6......3......15........6.95.7.391......68...2....6..8...9....3......386.2,24,34,23,1,0,0,0,0,0,Intermediate,
...8.3..9...4..3...7...9.81..........6..3.7..9.41....8....56..42...4......9....3.,23,41,17,3,1,3,0,0,0,Intermediate,
4752.......8....2.....16....17..3.6....1..8....35..2.4.5..........7.4...78....5.1,25,32,24,1,0,0,0,0,0,Intermediate,
.6..5.8...........1.82......894..5.34..61.....2.3.....8...9...553...6.2..9....6..,25,39,17,1,0,0,0,0,0,Intermediate,
.46.8..1...19...8.8...52...................4....561..7.......61.9...847..7...4.2.,24,49,8,1,0,0,0,0,0,Intermediate,
8..4..3......9.......1.5....8....65..3.....9.5....4.7116....9..7....8.14....1.5..,24,48,9,3,0,1,0,0,0,Intermediate,
934.......7......31.5.........9...1.....3..7...8.2195.541...8..2...14...........5,24,41,16,1,0,3,0,0,0,Intermediate,
56.1.....8.9.3........58...6...2.....978.3..1....7.2..98......2325.9..7..7.5.....,27,45,9,2,0,0,0,0,0,Intermediate,
